Item(s),transaction_id,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
2,42,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,44,butter milk,yogurt,cream cheese,spread cheese,rolls/buns,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
1,45,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,49,root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
4,50,sausage,rolls/buns,cat food,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,52,ham,grapes,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,53,turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
5,54,whole milk,yogurt,processed cheese,pickled vegetables,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,55,whole milk,curd,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,56,packaged fruit/vegetables,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,57,rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,
6,58,ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,
3,59,rolls/buns,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,60,other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
2,61,sausage,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,62,sausage,beef,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,63,frankfurter,tropical fruit,rolls/buns,brown bread,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,64,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,66,curd cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68,sausage,whole milk,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,69,tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,
1,70,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71,whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,
8,72,frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
3,73,whole milk,meat spreads,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,75,other vegetables,whole milk,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,76,citrus fruit,whole milk,curd,butter milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,77,flour,salt,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,78,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,79,frozen meals,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,80,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,81,root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,
4,82,root vegetables,onions,hard cheese,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,83,herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles,,,,,,,,,,,,,,,,,,,,,,,,,
1,84,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,85,sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
2,86,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,87,pork,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,88,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,89,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,91,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,92,citrus fruit,butter milk,yogurt,cream cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,93,pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate,,,,,,,,,,,,,,,,,,,,,,,
1,94,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,95,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,96,sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
10,97,chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent,,,,,,,,,,,,,,,,,,,,,,
3,98,whole milk,yogurt,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,100,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,101,sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,
3,102,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,103,sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags,,,,,,,,,,,,,,,,,,,,,,
1,104,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,105,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,106,beef,citrus fruit,berries,root vegetables,brown bread,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,
7,107,whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
1,108,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,109,tropical fruit,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,110,frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes,,,,,,,,,,,,,,,,,,,,,,
2,111,packaged fruit/vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,112,whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
2,113,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,114,citrus fruit,berries,UHT-milk,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,115,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,116,hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,
7,117,hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
3,118,whole milk,cream cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,119,fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,120,frankfurter,sausage,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,121,packaged fruit/vegetables,dessert,semi-finished bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,122,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,123,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,124,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,125,frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,
1,126,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,127,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,128,sausage,butter milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,129,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,130,frankfurter,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,131,whole milk,yogurt,beverages,brown bread,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,132,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,133,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,134,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,135,tropical fruit,other vegetables,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,136,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,137,rolls/buns,Instant food products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,138,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,139,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,140,frankfurter,sausage,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,141,other vegetables,misc. beverages,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,142,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,143,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,144,citrus fruit,butter,cream cheese,white bread,oil,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
2,145,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,146,frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,
5,147,butter milk,yogurt,honey,soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,148,hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,
2,149,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,150,other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
7,151,sausage,pork,citrus fruit,dessert,white bread,dishes,candles,,,,,,,,,,,,,,,,,,,,,,,,,
1,152,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,153,grapes,other vegetables,curd,dessert,yogurt,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
9,154,root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
2,155,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,156,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,157,whole milk,rolls/buns,sugar,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,158,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,159,beef,herbs,flour,cling film/bags,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,160,whole milk,butter,dessert,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,161,frankfurter,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,162,tropical fruit,specialty cheese,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,163,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,164,finished products,other vegetables,frozen vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,165,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,166,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,167,whole milk,pastry,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,168,finished products,white wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,169,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,170,ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
1,171,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,172,curd,butter milk,cocoa drinks,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,173,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,174,curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
4,175,whole milk,cream cheese,cereals,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,176,whole milk,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,177,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,178,sausage,soft cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,179,other vegetables,bottled water,waffles,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,180,ham,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,other vegetables,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,182,other vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,183,soda,bottled beer,white wine,prosecco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,184,herbs,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,185,frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles,,,,,,,,,
2,186,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,187,curd,cream cheese,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
6,188,frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
1,189,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,190,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,191,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,192,curd,salt,liquor (appetizer),detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,193,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,194,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,195,beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,
1,196,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,197,pork,beef,pip fruit,herbs,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,198,frankfurter,citrus fruit,UHT-milk,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,199,sausage,bottled beer,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,201,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,202,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,203,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,204,whole milk,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,205,rolls/buns,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,206,pork,root vegetables,other vegetables,whole milk,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,207,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,208,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,209,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,210,butter,yogurt,bottled water,soda,make up remover,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,
4,211,condensed milk,sugar,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,212,sausage,other vegetables,yogurt,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,213,whole milk,beverages,UHT-milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,214,sausage,pork,beef,whole milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,
1,215,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,216,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,217,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,218,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,219,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,220,sausage,soda,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,221,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,222,sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware,,,,,,,,,,,,,,,,,,,,
2,223,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,224,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,225,sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
4,226,meat,curd,bottled beer,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,227,frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,
3,228,ice cream,rolls/buns,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,229,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,230,tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
12,231,meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese,rolls/buns,brown bread,tea,bottled water,,,,,,,,,,,,,,,,,,,,
3,232,whole milk,mustard,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,233,sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
9,234,frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,
4,235,meat,other vegetables,butter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,236,root vegetables,beverages,Instant food products,pickled vegetables,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,237,root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
4,238,whole milk,whipped/sour cream,semi-finished bread,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,239,citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins,,,,,,,,,,,,,,,,
7,240,citrus fruit,curd,pastry,margarine,sugar,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
8,241,other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins,,,,,,,,,,,,,,,,,,,,,,,,
3,242,citrus fruit,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,243,sausage,oil,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,244,frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,
4,245,hard cheese,rolls/buns,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,246,cream cheese,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,247,turkey,beef,frozen vegetables,dishes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,248,pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,249,whole milk,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,250,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,251,sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,
1,252,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,253,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,254,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,255,root vegetables,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,256,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
